label,provider,model,category,metric,estimate,ci_low,ci_high,n_scored,n_calibration,n_self_consistency,n_hallucination_denominator,n_abstained,n_abstention_target,valid_resamples,undefined_resamples
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,ece_confidence,0.22499999999999998,0.0,0.72,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,brier_confidence,0.2025,0.0,0.648,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,ece_self_consistency,0.08333333333333333,0.0,0.26666666666666666,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,brier_self_consistency,0.027777777777777776,0.0,0.08888888888888888,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,hallucination_rate,0.0,0.0,0.0,9,4,4,1,4,1,1300,700
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,abstention_precision,0.5,0.0,1.0,9,4,4,1,4,1,1988,12
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,abstention_recall_category5,1.0,1.0,1.0,9,4,4,1,4,1,1300,700
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,abstention_recall_category4,,,,9,4,4,1,4,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,behavior_success,1.0,1.0,1.0,9,4,4,1,4,1,1998,2
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,hedging_success_category4,1.0,1.0,1.0,9,4,4,1,4,1,1269,731
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,ece_confidence:5,0.22499999999999998,0.0,0.72,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,ece_confidence:15,0.225,0.0,0.72,9,4,4,1,4,1,1986,14
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,hallucination_threshold_0.7,0.0,0.0,0.0,9,4,4,1,4,1,1300,700
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,overall,hallucination_threshold_0.9,0.0,0.0,0.0,9,4,4,1,4,1,1300,700
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,ece_confidence,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,brier_confidence,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,ece_self_consistency,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,brier_self_consistency,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,hallucination_rate,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,abstention_precision,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,abstention_recall_category5,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,abstention_recall_category4,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,behavior_success,1.0,1.0,1.0,1,0,0,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,hedging_success_category4,1.0,1.0,1.0,1,0,0,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,ece_confidence:5,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,ece_confidence:15,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,hallucination_threshold_0.7,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,ambiguous_contested,hallucination_threshold_0.9,,,,1,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,ece_confidence,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,brier_confidence,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,ece_self_consistency,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,brier_self_consistency,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,hallucination_rate,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,abstention_precision,1.0,1.0,1.0,1,0,0,0,1,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,abstention_recall_category5,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,abstention_recall_category4,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,behavior_success,1.0,1.0,1.0,1,0,0,0,1,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,hedging_success_category4,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,ece_confidence:5,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,ece_confidence:15,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,hallucination_threshold_0.7,,,,1,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,code_switched,hallucination_threshold_0.9,,,,1,0,0,0,1,0,0,2000
